"","n4","Freq"
"1","ab",27
"2","abl",14
"3","abli",1
"4","abo",4
"5","abu",2
"6","ac",4
"7","acc",3
"8","ace",7
"9","ach",3
"10","achm",1
"11","aci",1
"12","aco",6
"13","acri",3
"14","act",7
"15","acte",3
"16","acti",6
"17","ad",16
"18","ade",5
"19","ader",2
"20","adm",3
"21","ado",1
"22","af",8
"23","afe",1
"24","affi",1
"25","ag",22
"26","aga",9
"27","age",5
"28","agre",5
"29","ah",1
"30","ai",3
"31","ail",2
"32","ain",4
"33","aini",2
"34","ains",8
"35","ainst",8
"36","aint",8
"37","ais",1
"38","aj",11
"39","ajo",10
"40","ak",5
"41","ake",3
"42","al",5
"43","ala",10
"44","alan",6
"45","alar",1
"46","alb",2
"47","ald",4
"48","alf",3
"49","ali",7
"50","alin",2
"51","alit",2
"52","all",4
"53","alle",3
"54","alo",2
"55","als",5
"56","alt",2
"57","alu",2
"58","am",20
"59","ama",10
"60","amb",1
"61","ame",4
"62","amer",2
"63","ami",1
"64","amo",3
"65","amon",3
"66","amp",1
"67","ampl",1
"68","an",2
"69","ana",12
"70","anc",4
"71","ance",6
"72","anci",1
"73","and",54
"74","ande",8
"75","andi",9
"76","ane",5
"77","ang",4
"78","ani",8
"79","ano",5
"80","anot",1
"81","ans",9
"82","ant",5
"83","anta",5
"84","anti",3
"85","anu",5
"86","ap",12
"87","apa",3
"88","ape",4
"89","apower",2
"90","app",2
"91","appo",1
"92","apre",1
"93","ara",1
"94","arac",3
"95","aract",3
"96","arc",1
"97","ard",4
"98","are",26
"99","area",1
"100","aren",1
"101","ares",1
"102","aret",3
"103","arg",10
"104","arie",5
"105","arl",2
"106","arm",2
"107","arr",2
"108","ars",3
"109","art",2
"110","arti",18
"111","arto",3
"112","ary",2
"113","as",9
"114","asa",1
"115","asb",2
"116","asbe",1
"117","ase",5
"118","asi",2
"119","aso",5
"120","ass",10
"121","asse",5
"122","assi",10
"123","assu",1
"124","ast",6
"125","asth",4
"126","asu",1
"127","asur",1
"128","asw",1
"129","aswe",1
"130","at",2
"131","ata",7
"132","atan",2
"133","atb",1
"134","ate",4
"135","ated",3
"136","aten",2
"137","ater",16
"138","ath",4
"139","athe",1
"140","atho",2
"141","ati",6
"142","atin",3
"143","ation",14
"144","ationa",4
"145","atis",1
"146","atit",2
"147","ative",1
"148","ato",4
"149","aton",1
"150","ator",1
"151","ats",2
"152","atso",1
"153","att",11
"154","atte",1
"155","atth",13
"156","atu",4
"157","au",1
"158","aus",5
"159","ause",5
"160","aut",1
"161","auth",1
"162","av",1
"163","ave",1
"164","avi",1
"165","avo",3
"166","ax",1
"167","axe",1
"168","axqwtm",1
"169","ay",2
"170","ayb",13
"171","ays",3
"172","b",2
"173","ba",2
"174","babl",4
"175","be",10
"176","bea",3
"177","bec",7
"178","becom",1
"179","bed",5
"180","bede",2
"181","bee",6
"182","bef",3
"183","bei",9
"184","bein",9
"185","bel",3
"186","bele",2
"187","bem",9
"188","bema",3
"189","ben",3
"190","bene",2
"191","ber",8
"192","bera",3
"193","bere",8
"194","bero",9
"195","bes",5
"196","beso",1
"197","bet",8
"198","beun",4
"199","bi",6
"200","bia",1
"201","bil",1
"202","bin",3
"203","bit",1
"204","biti",1
"205","bj",10
"206","bl",2
"207","ble",20
"208","blet",7
"209","bmgjbr",2
"210","bno",1
"211","bo",7
"212","bod",4
"213","bor",1
"214","bot",4
"215","both",4
"216","bou",1
"217","br",5
"218","bra",1
"219","bran",1
"220","bri",1
"221","bro",3
"222","bse",1
"223","bst",4
"224","bsta",3
"225","bt",6
"226","bta",1
"227","bu",12
"228","bul",1
"229","but",10
"230","buti",3
"231","bv",1
"232","bvi",1
"233","by",31
"234","bya",4
"235","byo",2
"236","byt",9
"237","byth",8
"238","byw",5
"239","c",1
"240","ca",15
"241","cac",3
"242","cal",9
"243","can",9
"244","cand",4
"245","candi",2
"246","cang",1
"247","cann",3
"248","cap",1
"249","car",3
"250","cas",6
"251","case",6
"252","casi",1
"253","cat",3
"254","cau",5
"255","cca",1
"256","ccas",1
"257","cce",1
"258","ccess",1
"259","cco",3
"260","ce",2
"261","cea",7
"262","ceand",4
"263","cebe",2
"264","ced",4
"265","cee",1
"266","cei",9
"267","cent",1
"268","ceo",9
"269","cep",2
"270","cer",6
"271","cern",6
"272","cert",9
"273","ces",1
"274","cess",7
"275","cessa",6
"276","cessi",1
"277","cet",5
"278","cg",7
"279","cglvcy",2
"280","cgo",7
"281","ch",4
"282","cha",7
"283","chan",1
"284","char",4
"285","chas",1
"286","che",10
"287","chec",2
"288","ches",1
"289","chi",1
"290","chm",1
"291","cho",7
"292","chose",3
"293","cht",8
"294","ci",5
"295","cia",3
"296","cie",2
"297","cien",1
"298","cil",1
"299","cio",2
"300","cip",3
"301","cir",3
"302","circ",3
"303","cis",2
"304","cise",1
"305","cit",12
"306","citi",9
"307","cl",10
"308","cla",6
"309","clas",5
"310","cle",5
"311","clea",2
"312","cles",2
"313","clu",3
"314","co",33
"315","coin",1
"316","com",18
"317","con",28
"318","conc",11
"319","cons",9
"320","consi",10
"321","const",4
"322","cont",5
"323","conven",3
"324","cor",5
"325","cordin",2
"326","cou",7
"327","coun",4
"328","cour",3
"329","cover",1
"330","cr",10
"331","cra",6
"332","crati",1
"333","cre",6
"334","cret",2
"335","cta",4
"336","cted",3
"337","cter",3
"338","cti",4
"339","ctic",2
"340","ctit",2
"341","ctive",2
"342","cto",3
"343","ctor",1
"344","cts",10
"345","ctthe",1
"346","ctto",1
"347","ctu",8
"348","cu",3
"349","cul",2
"350","cum",3
"351","cur",9
"352","cure",5
"353","curi",4
"354","cut",2
"355","cy",8
"356","d",2
"357","da",12
"358","dac",2
"359","dan",7
"360","dange",4
"361","dar",2
"362","das",3
"363","dat",3
"364","db",4
"365","dbe",3
"366","dc",9
"367","dco",5
"368","dd",5
"369","dde",1
"370","ddi",2
"371","de",1
"372","dea",3
"373","deb",4
"374","dec",5
"375","deci",4
"376","ded",14
"377","dee",1
"378","def",1
"379","defe",1
"380","deg",6
"381","degre",5
"382","del",1
"383","deleg",1
"384","dem",6
"385","demo",6
"386","den",8
"387","dent",4
"388","dequa",1
"389","der",1
"390","deral",3
"391","dere",4
"392","deri",1
"393","dern",1
"394","dert",6
"395","derthe",5
"396","des",7
"397","desi",2
"398","dest",1
"399","det",7
"400","df",7
"401","dfor",2
"402","dfr",2
"403","dg",6
"404","dge",3
"405","dh",2
"406","dha",1
"407","dho",1
"408","di",4
"409","dia",3
"410","dici",1
"411","did",2
"412","dif",20
"413","din",1
"414","dina",2
"415","ding",2
"416","dint",11
"417","dir",2
"418","dire",2
"419","dis",19
"420","disco",1
"421","dist",8
"422","distr",4
"423","dit",4
"424","diti",2
"425","div",7
"426","divi",7
"427","dj",2
"428","dl",11
"429","dle",5
"430","dm",3
"431","dmi",3
"432","dmin",2
"433","dn",3
"434","dno",1
"435","dnot",1
"436","do",11
"437","doe",4
"438","dof",3
"439","dom",3
"440","don",5
"441","dop",3
"442","dp",14
"443","dr",4
"444","dre",4
"445","ds",6
"446","dse",1
"447","dst",1
"448","dsta",2
"449","dstate",2
"450","dt",66
"451","dth",43
"452","dtha",12
"453","dthe",27
"454","dther",2
"455","dto",22
"456","dtof",1
"457","du",1
"458","dual",3
"459","duc",4
"460","dul",1
"461","dur",1
"462","dv",12
"463","dva",6
"464","dvi",5
"465","dw",9
"466","dwe",3
"467","dwi",4
"468","dwith",4
"469","dy",6
"470","ea",8
"471","eac",6
"472","each",3
"473","ead",5
"474","eade",3
"475","eal",3
"476","ean",16
"477","eand",7
"478","eap",2
"479","eapp",1
"480","ear",1
"481","eas",3
"482","eat",5
"483","eate",15
"484","eati",1
"485","eau",1
"486","eb",16
"487","ebe",5
"488","ebee",4
"489","ec",5
"490","eca",5
"491","eces",7
"492","ech",4
"493","echo",3
"494","ecl",2
"495","eco",21
"496","ecom",3
"497","econ",11
"498","econs",6
"499","ect",4
"500","ecte",4
"501","ecti",4
"502","ecu",2
"503","ecul",1
"504","ed",14
"505","eda",10
"506","edan",8
"507","edb",12
"508","eder",3
"509","edi",9
"510","edin",8
"511","edo",7
"512","eds",2
