"","n4","Freq"
"1","a",2
"2","ab",26
"3","abl",12
"4","abli",4
"5","abs",1
"6","ac",2
"7","acc",4
"8","ace",5
"9","ach",10
"10","achm",6
"11","aco",4
"12","acri",2
"13","act",4
"14","acte",2
"15","acti",1
"16","ad",11
"17","ade",3
"18","adm",8
"19","ado",1
"20","af",12
"21","afe",3
"22","affi",2
"23","aft",1
"24","ag",14
"25","aga",6
"26","age",2
"27","agis",1
"28","agre",4
"29","ah",1
"30","ai",6
"31","aid",2
"32","ail",3
"33","ain",5
"34","aine",2
"35","aini",1
"36","ains",6
"37","ainst",5
"38","aint",4
"39","ais",1
"40","ak",6
"41","ake",3
"42","al",5
"43","ala",13
"44","alan",3
"45","alar",3
"46","alb",1
"47","ald",2
"48","ale",2
"49","alf",3
"50","ali",2
"51","alin",1
"52","alit",1
"53","all",8
"54","alle",1
"55","alo",7
"56","alon",3
"57","als",11
"58","alt",8
"59","am",22
"60","amb",4
"61","ame",4
"62","amer",4
"63","ami",6
"64","amo",4
"65","amon",1
"66","amp",1
"67","ampl",1
"68","an",1
"69","ana",7
"70","anc",2
"71","ance",10
"72","and",37
"73","ande",3
"74","andi",11
"75","ane",6
"76","ang",3
"77","ani",6
"78","ann",2
"79","ano",5
"80","anot",1
"81","ans",8
"82","ant",3
"83","anta",11
"84","ante",2
"85","anti",1
"86","anu",3
"87","ap",8
"88","apa",1
"89","ape",5
"90","app",5
"91","appo",3
"92","ar",1
"93","ara",5
"94","arac",2
"95","aract",2
"96","arc",2
"97","ard",4
"98","are",20
"99","area",5
"100","arei",2
"101","ares",1
"102","aret",3
"103","arg",8
"104","ari",4
"105","arie",1
"106","arl",4
"107","arm",10
"108","arr",9
"109","ars",7
"110","art",1
"111","arti",14
"112","arto",6
"113","ary",2
"114","as",7
"115","asa",3
"116","asb",2
"117","asbe",2
"118","ase",4
"119","asi",9
"120","asing",3
"121","asit",2
"122","asl",1
"123","aso",4
"124","ass",6
"125","asse",2
"126","assu",3
"127","ast",8
"128","asth",7
"129","asu",11
"130","asur",7
"131","asw",4
"132","aswe",1
"133","at",4
"134","ata",6
"135","atb",2
"136","ated",6
"137","ater",4
"138","ath",8
"139","athe",4
"140","ati",8
"141","atin",3
"142","ation",10
"143","ationa",3
"144","atis",1
"145","atit",3
"146","ative",2
"147","ato",3
"148","aton",1
"149","ats",1
"150","att",11
"151","atte",3
"152","atth",25
"153","atu",7
"154","au",2
"155","aus",3
"156","ause",3
"157","aut",5
"158","auth",5
"159","av",2
"160","ave",1
"161","aver",1
"162","aves",1
"163","avo",4
"164","aw",2
"165","axqwtm",1
"166","ay",1
"167","ayb",6
"168","aye",1
"169","ays",2
"170","b",3
"171","ba",3
"172","babl",1
"173","bar",2
"174","bbosvb",17
"175","be",10
"176","bea",10
"177","bear",2
"178","beas",2
"179","bec",7
"180","becom",1
"181","bed",6
"182","bede",3
"183","bee",3
"184","bef",3
"185","bei",6
"186","bein",5
"187","bel",3
"188","bele",1
"189","bem",8
"190","bema",2
"191","ben",1
"192","bene",1
"193","ber",4
"194","bera",2
"195","bere",4
"196","bero",4
"197","bers",12
"198","bert",2
"199","bes",9
"200","beso",1
"201","bet",11
"202","beun",2
"203","bey",2
"204","bi",11
"205","bia",2
"206","bil",3
"207","bin",1
"208","bit",5
"209","biti",4
"210","bj",7
"211","ble",14
"212","blet",9
"213","bm",1
"214","bmgjbr",4
"215","bno",1
"216","bo",9
"217","bod",3
"218","bor",1
"219","bot",5
"220","both",5
"221","br",4
"222","bra",2
"223","brac",2
"224","bri",2
"225","brit",2
"226","bse",1
"227","bso",1
"228","bsol",1
"229","bst",2
"230","bsta",1
"231","bt",2
"232","bu",15
"233","but",13
"234","buti",3
"235","by",24
"236","bya",4
"237","byan",1
"238","byt",12
"239","byth",12
"240","byw",1
"241","c",1
"242","ca",12
"243","cal",11
"244","can",7
"245","cand",2
"246","candi",1
