"","n4","Freq"
"1","*",1
"2","**",35
"3","**a",1
"4","**b",1
"5","**i",7
"6","**the",12
"7","**the*",11
"8","*a",10
"9","*a*",53
"10","*ab",4
"11","*ac",15
"12","*act",5
"13","*ad",20
"14","*ade",1
"15","*ag",12
"16","*age",3
"17","*al",47
"18","*all",33
"19","*all*",28
"20","*als",4
"21","*am",5
"22","*ame",2
"23","*an",44
"24","*an*",18
"25","*an*o",3
"26","*and",136
"27","*and*",93
"28","*ann",2
"29","*ans",1
"30","*ap",8
"31","*app",7
"32","*ar",12
"33","*are",18
"34","*art",10
"35","*arti",10
"36","*artic",10
"37","*as",49
"38","*as*",40
"39","*ass",4
"40","*at",18
"41","*at*",7
"42","*atte",6
"43","*au",16
"44","*aut",16
"45","*av",1
"46","*b",21
"47","*be",24
"48","*be*",54
"49","*been*",21
"50","*bi",4
"51","*bl",1
"52","*ble",1
"53","*bo",7
"54","*c",112
"55","*ca",22
"56","*cal",1
"57","*can*",8
"58","*ce",1
"59","*ch",14
"60","*ci",5
"61","*cl",9
"62","*cla",7
"63","*cle",1
"64","*co",103
"65","*con",46
"66","*cons",30
"67","*cor",3
"68","*cri",1
"69","*cu",2
"70","*d",69
"71","*da",4
"72","*de",39
"73","*den",2
"74","*des",4
"75","*di",21
"76","*do",9
"77","*du",5
"78","*e",83
"79","*ea",8
"80","*eac",7
"81","*eas",1
"82","*ef",13
"83","*ei",2
"84","*el",6
"85","*ele",6
"86","*em",6
"87","*emb",1
"88","*en",26
"89","*enc",1
"90","*ent",5
"91","*enti",1
"92","*equ",5
"93","*es",10
"94","*ess",6
"95","*esse",6
"96","*est",4
"97","*ever",17
"98","*evi",3
"99","*ex",44
"100","*ext",8
"101","*f",66
"102","*fa",11
"103","*fe",27
"104","*fi",12
"105","*fin",3
"106","*for",31
"107","*fore",6
"108","*fr",17
"109","*ful",4
"110","*g",24
"111","*ge",15
"112","*gen",15
"113","*gi",9
"114","*go",36
"115","*gre",3
"116","*gu",1
"117","*h",80
"118","*ha",59
"119","*han",2
"120","*have*",39
"121","*he",7
"122","*hi",3
"123","*his*",3
"124","*ho",3
"125","*hou",2
"126","*i",112
"127","*if",11
"128","*im",26
"129","*in",102
"130","*in*",61
"131","*inc",8
"132","*ind",14
"133","*inst",6
"134","*int",27
"135","*inte",15
"136","*ir",1
"137","*is",45
"138","*is*",40
"139","*it",47
"140","*it*",33
"141","*j",16
"142","*jo",1
"143","*k",3
"144","*ke",1
"145","*l",48
"146","*la",14
"147","*lan",1
"148","*lat",9
"149","*lati",1
"150","*le",14
"151","*leg",17
"152","*les",10
"153","*li",14
"154","*lit",1
"155","*lo",8
"156","*m",98
"157","*ma",20
"158","*me",23
"159","*men",1
"160","*mi",25
"161","*min",4
"162","*mo",33
"163","*mon",6
"164","*mu",16
"165","*n",48
"166","*na",7
"167","*nat",7
"168","*ne",40
"169","*no",53
"170","*not",26
"171","*not*",14
"172","*nu",7
"173","*nzvkk",1
"174","*o",29
"175","*ob",18
"176","*oc",1
"177","*of",212
"178","*of*",40
"179","*of*a",13
"180","*ol",2
"181","*om",1
"182","*on",29
"183","*on*",36
"184","*on*an",1
"185","*on*t",27
"186","*on*th",26
"187","*one",6
"188","*op",6
"189","*oper",2
"190","*or",42
"191","*or*",21
"192","*ori",2
"193","*ot",20
"194","*oth",20
"195","*ou",7
"196","*ough",5
"197","*our",2
"198","*over",11
"199","*ow",3
"200","*owe",1
"201","*p",124
"202","*pa",40
"203","*par",27
"204","*part",27
"205","*pe",17
"206","*pea",8
"207","*per",8
"208","*peri",1
"209","*pl",10
"210","*pla",9
"211","*ple",1
"212","*po",73
"213","*point",1
"214","*pos",9
"215","*pre",13
"216","*pres",4
"217","*pri",8
"218","*pu",11
"219","*qu",8
"220","*que",4
"221","*r",97
"222","*ra",2
"223","*rat",1
"224","*re",54
"225","*rea",11
"226","*rec",3
"227","*red",3
"228","*reme",1
"229","*ren",1
"230","*res",21
"231","*rest",6
"232","*ri",10
"233","*ru",1
